ticker,exchange,assetType,priceCurrency,startDate,endDate
TLMDW,NASDAQ,Stock,USD,2020-01-28,2020-11-27
TLMHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLMIX,NMFQS,Mutual Fund,USD,2014-01-02,2020-11-27
TLMMF,OTCGREY,Stock,USD,2015-09-04,2020-11-27
TLMPX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLMR,NASDAQ,Stock,USD,2014-02-11,2016-09-08
TLMRX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLMXX,NMFQS,Mutual Fund,USD,,
TLN,NYSE,Stock,USD,2016-01-04,2016-12-14
TLND,NASDAQ,Stock,USD,2016-07-29,2020-11-27
TLNT,NASDAQ,Stock,USD,,
TLNUF,PINK,Stock,USD,2017-09-22,2018-04-17
TLO,NYSE ARCA,ETF,USD,2007-05-30,2017-10-13
TLOFF,PINK,Stock,USD,2007-07-26,2020-11-27
TLOFX,NMFQS,Mutual Fund,USD,2017-03-22,2020-11-27
TLOG,PINK,Stock,USD,2013-12-12,2020-11-27
TLON,OTCBB,Stock,USD,,
TLOOF,OTCGREY,Stock,USD,2018-12-13,2020-11-27
TLORX,NMFQS,Mutual Fund,USD,2017-05-05,2020-11-27
TLOTX,NMFQS,Mutual Fund,USD,2017-05-05,2020-11-27
TLP,NYSE,Stock,USD,2005-05-25,2019-02-26
TLPC,OTCCE,Stock,USD,1996-09-25,2020-11-27
TLPFF,PINK,Stock,USD,2007-10-04,2020-11-27
TLPFY,PINK,Stock,USD,2013-07-11,2020-11-27
TLPPF,OTCGREY,Stock,USD,2019-07-25,2020-11-27
TLPRX,NMFQS,Mutual Fund,USD,2009-09-30,2020-11-27
TLQGF,OTCMKTS,Stock,USD,2016-11-04,2019-07-15
TLQHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLQIX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLQRX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLR,NYSE,Stock,USD,,
TLRA,NYSE,Stock,USD,2013-06-27,2020-03-31
TLRAX,NMFQS,Mutual Fund,USD,2001-08-16,2020-11-27
TLRBX,NMFQS,Mutual Fund,USD,2001-08-03,2020-11-27
TLRCX,NMFQS,Mutual Fund,USD,2001-08-02,2020-11-27
TLRD,NYSE,Stock,USD,,
TLRDQ,PINK,Stock,USD,2016-01-04,2020-11-27
TLRDQ,PINK,Stock,USD,,
TLRHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLRIX,NMFQS,Mutual Fund,USD,2007-12-03,2020-11-27
TLRK,NASDAQ,Stock,USD,,
TLRRX,NMFQS,Mutual Fund,USD,2007-12-03,2020-11-27
TLRS,OTCQB,Stock,USD,2016-02-16,2020-11-27
TLRSX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLRTX,NMFQS,Mutual Fund,USD,,
TLRY,NASDAQ,Stock,USD,2018-07-19,2020-11-27
TLS,NASDAQ,Stock,USD,2020-11-19,2020-11-27
TLSA,NASDAQ,Stock,USD,2018-11-20,2020-11-27
TLSHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLSI,NASDAQ,Stock,USD,,
TLSIX,NMFQS,Mutual Fund,USD,2001-02-15,2017-09-20
TLSMF,OTCGREY,Stock,USD,2017-12-13,2020-11-27
TLSNF,PINK,Stock,USD,2007-07-17,2020-11-27
TLSNY,PINK,Stock,USD,2011-02-22,2020-11-27
TLSP,NASDAQ,Stock,USD,,
TLSPX,NMFQS,Mutual Fund,USD,2011-12-09,2020-11-27
TLSRP,PINK,Stock,USD,2007-07-17,2020-11-23
